,product_id,product_url,title,src,img_file
2048,mnowg008isbn,https://comics.panini.it/store/pub_ita_it/mnowg008isbn-it-marvel-super-sized-collection-marvel-super-sized-collectio.html,X-Men: Legione     2,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOWG008ISBN_0.jpg,img_mnowg008isbn.jpg
2049,mxmen004isbn,https://comics.panini.it/store/pub_ita_it/mxmen004isbn-it-x-men-marvel-masterworks-x-men-vol-4-libro-isbn.html,X-Men     4,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/X/MXMEN004ISBN_0.jpg,img_mxmen004isbn.jpg
2050,msaga032,https://comics.panini.it/store/pub_ita_it/msaga032-it-marvel-saga-anad-black-widow-n-3.html,Vedova Nera     3,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/S/MSAGA032_0.jpg,img_msaga032.jpg
2051,mmhis017isbn,https://comics.panini.it/store/pub_ita_it/mmhis017isbn-it-marvel-history-marvel-history-marvel-s-edizione-decennale.html,Avengers Di Busiek     4,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/M/MMHIS017ISBN_0.jpg,img_mmhis017isbn.jpg
2052,mnexm044,https://comics.panini.it/store/pub_ita_it/mnexm044-it-all-new-x-men-all-new-x-men-n-44.html,I Nuovissimi X-Men     9,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNEXM044_0.jpg,img_mnexm044.jpg
2053,mgixm312isbnr,https://comics.panini.it/store/pub_ita_it/mgixm312isbnr-it-gli-incredibili-x-men-gli-straordinari-x-men-2-312-anad.html,Gli Straordinari X-Men     2,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/G/MGIXM312ISBNR_0.jpg,img_mgixm312isbnr.jpg
2054,minum010,https://comics.panini.it/store/pub_ita_it/minum010-it-inumani-inumani-n-10.html,Incredibili Inumani     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/I/MINUM010_0.jpg,img_minum010.jpg
2055,mnowc049isbn,https://comics.panini.it/store/pub_ita_it/mnowc049isbn-it-marvel-now-cartonati-marvel-now-collection-incredibili-x.html,Incredibili X-Men     4,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOWC049ISBN_0.jpg,img_mnowc049isbn.jpg
2056,mguga051,https://comics.panini.it/store/pub_ita_it/mguga051-it-guardians-of-the-galaxy-guardians-of-the-galaxy-n-51.html,Guardiani della Galassia     19,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/G/MGUGA051_0.jpg,img_mguga051.jpg
2057,mnowc008isbnr,https://comics.panini.it/store/pub_ita_it/mnowc008isbnr-it-marvel-now-cartonati-marvel-now-collection-i-nuovissimi-x.html,I Nuovissimi X-Men     2,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOWC008ISBNR_0.jpg,img_mnowc008isbnr.jpg
2058,mgixm320,https://comics.panini.it/store/pub_ita_it/mgixm320-it-gli-incredibili-x-men-gli-incredibili-x-men-n-320.html,Gli Straordinari X-Men     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/G/MGIXM320_0.jpg,img_mgixm320.jpg
2059,mwodx001isbn,https://comics.panini.it/store/pub_ita_it/mwodx001isbn-it-death-of-wolverine-wolverine-not-dead-yet.html,Wolverine – In punto di morte  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/W/MWODX001ISBN_0.jpg,img_mwodx001isbn.jpg
2060,mnowc050isbn,https://comics.panini.it/store/pub_ita_it/mnowc050isbn-it-marvel-now-cartonati-marvel-now-collection-guardiani-del.html,Guardiani della Galassia e X-Men  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOWC050ISBN_0.jpg,img_mnowc050isbn.jpg
2061,mrrsl025,https://comics.panini.it/store/pub_ita_it/mrrsl025-it-rocket-raccoon-e-il-leggendari-rocket-raccoon-e-il-legg-n.html,Guardiani della Galassia presenta     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/R/MRRSL025_0.jpg,img_mrrsl025.jpg
2062,maves068,https://comics.panini.it/store/pub_ita_it/maves068-it-marvel-the-avengers-marvel-the-avengers-n-68.html,I Nuovissimi Avengers     19,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/A/MAVES068_0.jpg,img_maves068.jpg
2063,mnowc023isbnr,https://comics.panini.it/store/pub_ita_it/mnowc023isbnr-it-marvel-now-cartonati-marvel-now-collection-infinity-libr.html,Infinity  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOWC023ISBNR_0.jpg,img_mnowc023isbnr.jpg
2064,mdead078,https://comics.panini.it/store/pub_ita_it/mdead078-it-deadpool-deadpool-n-78.html,Deadpool     19,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/D/MDEAD078_0.jpg,img_mdead078.jpg
2065,mamaz086,https://comics.panini.it/store/pub_ita_it/mamaz086-it-amazing-spider-man-amazing-spider-man-n-86.html,Amazing Spider-Man     19,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/A/MAMAZ086_0.jpg,img_mamaz086.jpg
2066,mirna046,https://comics.panini.it/store/pub_ita_it/mirna046-it-iron-man-iron-man-n-46.html,Invincibile Iron Man     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/I/MIRNA046_0.jpg,img_mirna046.jpg
2067,mthor215,https://comics.panini.it/store/pub_ita_it/mthor215-it-thor-thor-n-215.html,La Potente Thor     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/T/MTHOR215_0.jpg,img_mthor215.jpg
2068,mcros090,https://comics.panini.it/store/pub_ita_it/mcros090-it-marvel-crossover-contest-of-champions-n-1.html,CIVIL WAR II – Scegli da che parte stare     1,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/C/MCROS090_0.jpg,img_mcros090.jpg
2069,mnowc051isbn,https://comics.panini.it/store/pub_ita_it/mnowc051isbn-it-marvel-now-cartonati-marvel-now-collection-superior-spid.html,Superior Spider-Man     4,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOWC051ISBN_0.jpg,img_mnowc051isbn.jpg
2070,mmmin178,https://comics.panini.it/store/pub_ita_it/mmmin178-it-marvel-miniserie-civil-war-ii-3-cwii.html,Civil War II     3,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/M/MMMIN178_0.jpg,img_mmmin178.jpg
2071,minav033isbnr,https://comics.panini.it/store/pub_ita_it/minav033isbnr-it-gli-incredibili-avengers-gli-incredibili-avengers-1-33.html,Incredibili Avengers     1,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/I/MINAV033ISBNR_0.jpg,img_minav033isbnr.jpg
2072,mamaz070isbnr,https://comics.panini.it/store/pub_ita_it/mamaz070isbnr-it-amazing-spider-man-amazing-spider-man-3-652-anad-prima.html,Amazing Spider-Man     3,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/A/MAMAZ070ISBNR_0.jpg,img_mamaz070isbnr.jpg
2073,mmmin178isbn,https://comics.panini.it/store/pub_ita_it/mmmin178isbn-it-marvel-miniserie-marvel-miniserie-civil-war-ii-3-edizione.html,Civil War II     3,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/M/MMMIN178ISBN_0.jpg,img_mmmin178isbn.jpg
2074,mcapi080,https://comics.panini.it/store/pub_ita_it/mcapi080-it-capitan-america-capitan-america-n-80.html,Capitan America     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/C/MCAPI080_0.jpg,img_mcapi080.jpg
2075,minav042,https://comics.panini.it/store/pub_ita_it/minav042-it-gli-incredibili-avengers-gli-incredibili-avengers-n-42.html,incredibili Avengers     10,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/I/MINAV042_0.jpg,img_minav042.jpg
2076,mguga050isbn,https://comics.panini.it/store/pub_ita_it/mguga050isbn-it-guardians-of-the-galaxy-guardiani-della-galassia-n-18-5.html,Guardiani della Galassia     18,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/G/MGUGA050ISBN_0.jpg,img_mguga050isbn.jpg
2077,m1brc007isbn,https://comics.panini.it/store/pub_ita_it/m1brc007isbn-it-cap-brubaker-cap-brubaker-n-7.html,Capitan America Ed Brubaker Collection     7,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/1/M1BRC007ISBN_0.jpg,img_m1brc007isbn.jpg
2078,mdemk059,https://comics.panini.it/store/pub_ita_it/mdemk059-it-devil-e-i-marvel-knights-devil-e-i-marvel-knights-n-59.html,Daredevil     8,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/D/MDEMK059_0.jpg,img_mdemk059.jpg
2079,m1dea031isbn,https://comics.panini.it/store/pub_ita_it/m1dea031isbn-it-100-marvel-deadpool-100-marvel-deadpool-deadpool-classic.html,Deadpool Classic     9,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/1/M1DEA031ISBN_0.jpg,img_m1dea031isbn.jpg
2080,mguga050,https://comics.panini.it/store/pub_ita_it/mguga050-it-guardians-of-the-galaxy-guardians-of-the-galaxy-n-50.html,Guardiani della Galassia     18,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/G/MGUGA050_0.jpg,img_mguga050.jpg
2081,mtmst007isbnv,https://comics.panini.it/store/pub_ita_it/mtmst007isbnv-it-i-grandi-tesori-mar-starlord-grandi-tesori-marvel-wolve.html,Wolverine  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/T/MTMST007ISBNV_0.jpg,img_mtmst007isbnv.jpg
2082,miowo001isbn,https://comics.panini.it/store/pub_ita_it/miowo001isbn-it-io-sono-wolverine-io-sono-wolverine-n-1.html,Io sono Wolverine  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/I/MIOWO001ISBN_0.jpg,img_miowo001isbn.jpg
2083,mdstr009,https://comics.panini.it/store/pub_ita_it/mdstr009-it-dottor-strange-dottor-strange-n-9.html,Doctor Strange     9,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/D/MDSTR009_0.jpg,img_mdstr009.jpg
2084,mdehc006isbn,https://comics.panini.it/store/pub_ita_it/mdehc006isbn-it-deadpool-hc-la-notte-dei-deadpool-viventi-hc.html,La notte dei Deadpool viventi  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/D/MDEHC006ISBN_0.jpg,img_mdehc006isbn.jpg
