,product_id,product_url,title,src,img_file
663,mpean026isbn,https://comics.panini.it/store/pub_ita_it/mpean026isbn-it-the-complete-peanuts-the-complete-peanuts-n-26.html,The Complete Peanuts     26,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/P/MPEAN026ISBN_0.jpg,img_mpean026isbn.jpg
664,mmyst011isbn,https://comics.panini.it/store/pub_ita_it/mmyst011isbn-it-xiii-mystery-xiii-mystery-n-11.html,XIII Mystery     11,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/M/MMYST011ISBN_0.jpg,img_mmyst011isbn.jpg
665,maste017,https://comics.panini.it/store/pub_ita_it/maste017-it-asterix-asterix-17-asterix-gladiatore-spillato-edicola.html,Asterix gladiatore     17,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/A/MASTE017_0.jpg,img_maste017.jpg
666,mtraf001isbn,https://comics.panini.it/store/pub_ita_it/mtraf001isbn-it-transformers-transformers-n-1.html,Transformers     1,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/T/MTRAF001ISBN_0.jpg,img_mtraf001isbn.jpg
667,masct002isbn,https://comics.panini.it/store/pub_ita_it/masct002isbn-it-assassins-creed-1-la-prova-de-100-panini-comics-assass.html,Assassin's Creed     2,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/A/MASCT002ISBN_0.jpg,img_masct002isbn.jpg
668,mptal001isbn,https://comics.panini.it/store/pub_ita_it/mptal001isbn-it-postal-postal-n-1.html,Postal     1,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/P/MPTAL001ISBN_0.jpg,img_mptal001isbn.jpg
669,mstws024,https://comics.panini.it/store/pub_ita_it/mstws024-it-star-wars-star-wars-n-24.html,Star Wars     24,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/S/MSTWS024_0.jpg,img_mstws024.jpg
670,mwota001isbna,https://comics.panini.it/store/pub_ita_it/mwota001isbna-it-world-of-tanks-100-panini-comics-world-of-tanks-roll-ou.html,World of Tanks     1,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/W/MWOTA001ISBNA_0.jpg,img_mwota001isbna.jpg
671,mprov003isbn,https://comics.panini.it/store/pub_ita_it/mprov003isbn-it-providence-panini-comics-100-hd-providence-n-3-di-3-lib.html,Providence     3,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/P/MPROV003ISBN_0.jpg,img_mprov003isbn.jpg
672,mstwc008isbn,https://comics.panini.it/store/pub_ita_it/mstwc008isbn-it-star-wars-collection-star-war-star-wars-marvel-hc-kanaan.html,Star Wars – Lando  ,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/200x/9df78eab33525d08d6e5fb8d27136e95/M/S/MSTWC008ISBN_0.jpg,img_mstwc008isbn.jpg
